列標籤,2025/12/1,2025/12/2,2025/12/3,2025/12/4,2025/12/5,2025/12/6,2025/12/7,2025/12/8,2025/12/9,2025/12/10,2025/12/11,2025/12/12,2025/12/13,2025/12/14,2025/12/15,2025/12/16,2025/12/17,2025/12/18,2025/12/19,2025/12/20,2025/12/21,2025/12/22,2025/12/23,2025/12/24,2025/12/25,2025/12/26,2025/12/27,2025/12/28,2025/12/29,2025/12/30,2025/12/31,2026/1/1,2026/1/2,2026/1/3,2026/1/4,2026/1/5,(空白),總計,用量占比(100%)
005TEZ01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.000171438
005THA01,0,0,0,0,2,2,0,50,1,2,3,3,6,0,3,22,2,2,2,4,0,3,22,4,0,2,6,0,3,4,8,10,3,18,0,1,0,188,0.016115138
005THR03,7,13,0,33,34,0,28,15,3,5,5,12,15,1,5,10,3,3,4,7,0,4,8,18,0,17,16,0,5,3,6,0,5,13,0,3,0,301,0.025801364
005THR04,1316,1998,851,1392,2844,713,605,1113,1412,1570,1528,1983,2187,623,1106,1359,1249,1541,1588,1958,608,1356,1465,2096,710,1685,1935,351,1195,1435,2123,874,1348,2068,470,1198,0,49853,4.273340162
005TOF01,5,22,1,22,18,2,0,2,3,2,2,23,4,0,3,3,2,25,18,0,0,3,0,15,0,21,1,1,2,3,2,1,1,2,0,1,0,210,0.018000951
005TON04,0,1,1,2,2,0,0,4,2,0,1,3,1,0,3,1,2,3,2,1,1,2,1,2,1,0,0,1,2,2,1,2,5,1,2,3,0,55,0.004714535
005TON05,12,30,51,14,37,14,33,13,13,13,14,42,58,1,55,33,15,17,16,18,45,6,4,26,29,35,20,0,9,12,36,27,13,23,14,10,0,808,0.069260804
005TON06,157,113,43,60,171,59,59,77,86,85,108,201,93,0,141,109,88,73,99,111,0,90,42,75,1,222,85,1,43,56,119,66,120,195,2,57,0,3107,0.266328363
005TOP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,1,2,0,11,0.000942907
005TOP03,19,6,0,5,47,9,0,64,5,6,38,29,18,0,12,12,25,35,16,35,0,19,15,30,0,62,42,0,24,9,36,0,11,16,0,6,0,651,0.05580295
005TOP05,17,46,21,36,82,84,1,17,76,13,117,25,22,2,16,52,58,102,98,66,0,11,110,45,2,33,34,0,33,17,37,105,19,43,20,21,0,1481,0.126949567
005TOP07,5,10,2,70,15,0,0,5,3,6,5,12,10,0,5,5,5,7,13,22,0,12,32,16,2,15,16,0,8,8,16,0,22,16,0,6,0,369,0.031630243
005TOU01,7,9,7,7,3,7,7,11,6,4,7,8,6,6,3,6,3,10,7,3,3,8,5,8,1,12,7,4,4,11,5,6,4,12,2,6,0,225,0.019286734
005TRA03,145,91,106,65,63,6,0,54,84,99,204,55,102,63,40,52,50,114,84,128,66,46,114,67,64,123,62,3,66,103,87,121,41,92,10,95,0,2765,0.237012528
005TRA21,63,89,25,70,136,55,2,68,67,55,61,131,90,9,47,64,71,42,78,91,24,36,69,130,14,49,108,7,80,69,105,37,57,145,18,57,0,2319,0.198781936
005TRA22,84,56,39,20,109,26,6,47,74,94,49,108,71,5,31,60,179,61,104,196,59,84,63,95,1,43,141,1,17,108,102,32,66,154,78,66,0,2529,0.216782887
005TRA26,13,25,46,15,92,5,12,56,18,16,21,68,41,0,20,20,20,19,57,40,30,24,31,30,0,67,30,0,22,6,65,7,19,19,1,35,0,990,0.084861628
005TRA27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0.001200063
005TRH02,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0.000342875
005TRI14,6,12,0,20,47,16,0,5,5,5,4,53,8,0,4,5,20,33,15,14,2,32,21,10,49,50,2,0,1,2,4,0,10,7,0,4,0,466,0.039944969
005TRI18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000171438
005TRI22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005TRI25,26,110,240,208,74,0,120,38,242,142,196,162,158,42,26,116,34,227,88,210,42,46,113,212,152,56,210,4,83,186,151,0,16,46,24,53,0,3853,0.3302746
005TRI26,2,1,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,2,4,3,3,2,6,0,5,8,0,4,2,0,0,0,0,0,0,0,49,0.004200222
005TRO05,4,8,0,18,12,2,0,21,4,6,7,29,10,0,5,17,3,3,15,6,0,7,5,6,0,36,2,0,32,9,12,1,8,2,0,2,0,292,0.025029894
005TRO07,1,0,0,0,14,0,0,1,1,1,1,16,4,0,2,8,2,13,2,2,28,17,0,16,0,15,2,0,1,1,6,0,12,0,0,0,0,166,0.014229324
005TRU06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,6,0.000514313
005TUL01,1,2,21,24,6,0,12,0,1,1,1,3,6,2,11,13,2,2,3,6,0,5,22,6,21,5,6,0,3,3,8,0,3,9,0,22,0,230,0.019715328
005TYG01,39,53,9,36,78,0,0,28,14,24,18,18,36,4,18,19,14,16,20,36,0,22,19,32,0,12,30,4,18,21,55,4,31,62,8,44,0,842,0.072175244
005UCA01,4,17,5,78,28,28,2,9,19,25,37,29,33,21,44,20,18,47,32,52,0,14,24,41,24,53,51,1,47,56,25,1,15,22,0,13,0,935,0.080147093
005UFO01,21,44,0,11,39,0,0,24,40,39,30,28,58,0,29,27,27,32,32,64,0,24,16,36,0,18,36,9,20,13,56,0,32,52,12,31,0,900,0.077146935
005UFR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000257156
005ULE05,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,15,0.001285782
005ULS03,719,748,388,569,1339,314,227,520,581,660,486,816,901,266,526,677,509,609,752,732,215,469,599,587,379,672,517,161,519,567,846,333,472,852,183,521,0,20231,1.734177378
005ULT04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.000171438
005URA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,12,0,6,6,12,14,4,8,0,4,0,78,0.006686068
005URI05,49,32,26,40,45,13,1,26,24,32,22,43,32,1,16,23,22,54,39,47,9,20,53,38,27,33,75,1,59,22,45,36,16,29,2,36,0,1088,0.093262072
005URO10,1,2,1,1,5,0,0,2,2,6,4,1,4,0,0,2,2,2,2,3,0,2,2,1,0,1,2,0,1,1,1,0,0,1,0,0,0,52,0.004457378
005URO13,2,4,0,2,6,0,0,2,3,30,2,1,2,0,1,1,1,1,1,2,0,1,1,2,0,11,0,0,0,0,0,1,1,2,0,1,0,81,0.006943224
005URO15,63,241,172,133,256,56,40,66,195,166,130,149,140,24,38,58,233,144,208,56,73,54,86,298,129,151,99,32,108,140,12,0,0,0,0,0,0,3750,0.321445562
005URO16,0,0,0,0,0,0,0,84,0,2,1,1,2,0,1,1,1,1,1,2,0,1,1,2,0,1,3,0,1,85,2,0,1,2,0,1,0,197,0.016886607
005URO23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,51,62,117,54,48,0,497,0.042602252
005UTA02,41,20,0,18,66,0,0,10,30,7,7,39,20,0,11,12,10,30,21,19,4,13,9,15,1,36,20,0,10,10,20,0,15,66,2,37,0,619,0.053059947
005UTR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0.001800095
005UTR02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.000685751
005UVA01,15,14,10,6,30,1,0,7,21,16,41,29,61,0,28,24,10,10,8,15,1,10,7,16,0,18,20,3,14,31,58,0,31,55,0,20,0,630,0.054002854
005UWA01,27,24,0,29,63,29,9,14,38,29,42,44,33,2,19,26,20,32,16,36,7,28,16,36,20,32,40,2,24,28,47,3,22,30,2,25,0,894,0.076632622
005VAF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.000257156
005VAL06,4,19,10,19,2,21,2,3,13,4,6,11,14,0,9,5,6,5,6,34,1,3,2,3,10,4,10,0,1,3,20,0,1,1,0,2,0,254,0.021772579
005VAL07,104,91,2,125,302,3,0,82,61,72,68,262,76,0,41,77,68,131,104,129,1,116,121,98,0,241,95,1,119,53,99,31,45,73,3,69,0,2963,0.253984853
005VAW01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,2,1,5,0,2,4,0,2,1,5,0,2,4,0,2,0,41,0.003514471
005VAW02,0,0,0,0,0,0,0,0,3,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.001285782
